F1_0,F1_1,epoch,time
0.0007903802460032029,0.2262276749544751,0,1575.3776361942291
0.9317822595941077,0.0,1,1626.2914066314697
0.9317822595941077,0.0,2,1676.7218849658966
0.9453591976735142,0.35944770947683,3,1730.3588616847992
0.9588087682707361,0.5989948252112729,4,1785.7836475372314
0.9684503061022838,0.7344671142575999,5,1839.945036649704
0.965280747299937,0.7753436203543461,6,1888.6098749637604
0.9735317195493818,0.8001336435867883,7,1940.9264602661133
0.9623915664386397,0.7717750646727469,8,1991.0695598125458
0.973363404337625,0.8051407259304829,9,2040.1734936237335
0.9741533617569932,0.8023248606942992,10,2090.114751815796
0.9722127208142782,0.8206755962689358,11,2141.0863518714905
0.9734080049720841,0.7916455592777187,12,2194.0145738124847
0.9769363734078073,0.8455855012800418,13,2244.8338935375214
0.9775973461660267,0.8536239558004891,14,2294.65970993042
