F1_0,F1_1,epoch,time
0.9287365140792999,0.0,0,2343.3112785816193
0.9287365140792999,0.0,1,2393.4677464962006
0.9340196373675279,0.15125272691214384,2,2444.95432305336
0.9623788337828764,0.6688448118311611,3,2493.901935338974
0.9733854417366977,0.7949155954809906,4,2544.293957710266
0.9615748815290223,0.6556219820102276,5,2593.620908975601
0.9777497338530694,0.8483160935607119,6,2642.3079421520233
0.9571519754700449,0.7685206244342648,7,2690.963456630707
0.9660700472957563,0.8013752690157577,8,2739.355140209198
0.9736799836437897,0.8390706920620059,9,2787.4457018375397
0.977525161870737,0.8320594033806277,10,2836.763335466385
0.9810420103585089,0.8703021329340042,11,2885.183329343796
0.9796693854829731,0.8676236730132806,12,2933.541429042816
0.9553976820569213,0.5686905509948129,13,2981.7590980529785
0.981869111141014,0.8805883225356036,14,3029.302478313446
