F1_0,F1_1,epoch,time
0.0,0.22911426972359797,0,803.0148088932037
0.930834067265331,0.0,1,852.4748451709747
0.9575054420528175,0.5881177985815322,2,901.7269530296326
0.9444250225250981,0.36179184428583383,3,950.6184318065643
0.970051631976572,0.811288650918777,4,999.3087756633759
0.976724605005014,0.8405495125789303,5,1050.5658049583435
0.9793624644175875,0.8530891263054364,6,1102.246770620346
0.9789342024615099,0.8432800728957119,7,1155.8884818553925
0.9788959324805676,0.8569702418412298,8,1213.544400691986
0.9775485248109446,0.840108604625836,9,1266.6780457496643
0.9605318487145418,0.7704364654118181,10,1318.750278711319
0.9797602265209342,0.8496799005607097,11,1369.7431976795197
0.9803727388339251,0.8539666123540144,12,1419.5210311412811
0.9737712482835389,0.8278958207316605,13,1472.0460438728333
0.9812733885354943,0.8640981685037626,14,1526.093254327774
